File	Value	MergeTest2_DB	MergeTest3
9e097b10-8160-491e-a310-e26e54a86a10/Track1.mp3	AddedDate	01/01/1970 00:00:00	26/04/2015 11:10:53
9e097b10-8160-491e-a310-e26e54a86a10/Track2.mp3	AddedDate	01/01/1970 00:00:00	26/04/2015 11:10:53
9e097b10-8160-491e-a310-e26e54a86a10/Track3.mp3	AddedDate	01/01/1970 00:00:00	26/04/2015 11:10:53
9e097b10-8160-491e-a310-e26e54a86a10/Track4.mp3	AddedDate	01/01/1970 00:00:00	26/04/2015 11:10:53
9e097b10-8160-491e-a310-e26e54a86a10/Track5.mp3	AddedDate	01/01/1970 00:00:00	26/04/2015 11:10:53
9e097b10-8160-491e-a310-e26e54a86a10/Track6.mp3	AddedDate	01/01/1970 00:00:00	26/04/2015 11:10:53
9e097b10-8160-491e-a310-e26e54a86a10/Track7.mp3	AddedDate	01/01/1970 00:00:00	26/04/2015 11:10:53
9e097b10-8160-491e-a310-e26e54a86a10/Track8.mp3	AddedDate	01/01/1970 00:00:00	26/04/2015 11:10:53
9e097b10-8160-491e-a310-e26e54a86a10/Track9.mp3	AddedDate	01/01/1970 00:00:00	26/04/2015 11:10:53
9e097b10-8160-491e-a310-e26e54a86a10/Track10.mp3	AddedDate	01/01/1970 00:00:00	26/04/2015 11:10:53
