File	Value	MergeDevice5_2	MergeDevice4_1stMerge
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	LastPlayed	24/05/2014 09:26:35	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track2.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track2.mp3	LastPlayed	24/05/2014 09:26:36	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	Rating	1	4
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	LastPlayed	24/05/2014 09:26:37	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track4.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track4.mp3	LastPlayed	24/05/2014 09:26:38	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	PlayCounter	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	LastPlayed	24/05/2014 09:26:39	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track6.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track6.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	LastPlayed	24/05/2014 09:26:41	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	LastPlayed	24/05/2014 09:26:42	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	LastPlayed	24/05/2014 09:26:43	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	LastPlayed	24/05/2014 09:26:44	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	PlayCounter	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	LastPlayed	24/05/2014 09:26:45	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track12.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track12.mp3	LastPlayed	24/05/2014 09:26:46	01/01/1970 00:00:00
