File	Value	MergeDevice5_1	MergeDevice4_1stMerge
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	PlayCounter	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	Rating	3	4
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	LastPlayed	06/04/2013 11:11:11	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track4.mp3	LastPlayed	06/04/2013 11:11:12	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	LastPlayed	06/04/2013 11:11:13	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track6.mp3	Rating	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track6.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	PlayCounter	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	ignore	false	true
