File	Value	MergeDevice3_JaMuz	MergeDevice4_1stMerge
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track1.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track2.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track3.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track4.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track5.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track6.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track7.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track8.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track9.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track10.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track11.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
9dc7fe6a-3fa4-4461-8975-ecb7218b39a3/Track12.mp3	AddedDate	01/01/1970 00:00:00	05/05/2012 19:27:24
