File	Value	MergeDevice6_New	MergeDevice5_3
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	LastPlayed	24/05/2014 09:26:35	04/05/2015 12:24:26
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track2.mp3	LastPlayed	24/05/2014 09:26:36	04/05/2015 12:24:27
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	PlayCounter	2	12
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	Rating	3	4
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	LastPlayed	24/05/2014 09:26:37	04/05/2015 12:24:28
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track4.mp3	PlayCounter	7	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track4.mp3	LastPlayed	24/05/2014 09:26:38	04/05/2015 12:24:29
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	PlayCounter	3	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	AddedDate	05/05/2012 19:27:24	05/05/2013 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	LastPlayed	24/05/2014 09:26:39	04/05/2015 12:24:30
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track6.mp3	Rating	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track6.mp3	AddedDate	05/05/2012 19:27:24	05/05/2013 19:27:25
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track6.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	PlayCounter	3	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	Rating	1	4
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	AddedDate	05/05/2012 19:27:24	05/05/2013 19:27:26
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	LastPlayed	24/05/2014 09:26:41	04/05/2015 12:24:32
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	PlayCounter	4	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	AddedDate	05/05/2012 19:27:24	05/05/2013 19:27:27
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	LastPlayed	07/05/2015 17:53:51	04/05/2015 12:24:33
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	PlayCounter	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	Rating	1	4
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	LastPlayed	07/05/2015 17:53:52	04/05/2015 12:24:34
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	PlayCounter	0	4
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	LastPlayed	07/05/2015 17:53:53	04/05/2015 12:24:35
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	PlayCounter	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	LastPlayed	24/05/2014 09:26:45	04/05/2015 12:24:36
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track12.mp3	PlayCounter	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track12.mp3	LastPlayed	24/05/2014 09:26:46	04/05/2015 12:24:37
