File	Value	MergeDevice6_New	MergeDevice5_2
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	AddedDate	05/05/2012 19:27:24	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track2.mp3	AddedDate	05/05/2012 19:27:24	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	PlayCounter	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	Rating	3	1
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	AddedDate	05/05/2012 19:27:24	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track4.mp3	PlayCounter	7	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track4.mp3	AddedDate	05/05/2012 19:27:24	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	PlayCounter	3	2
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	AddedDate	05/05/2012 19:27:24	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track6.mp3	Rating	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track6.mp3	AddedDate	05/05/2012 19:27:24	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track6.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	PlayCounter	3	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	AddedDate	05/05/2012 19:27:24	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	PlayCounter	4	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	AddedDate	05/05/2012 19:27:24	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	LastPlayed	07/05/2015 17:53:51	24/05/2014 09:26:42
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	PlayCounter	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	AddedDate	05/05/2012 19:27:24	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	LastPlayed	07/05/2015 17:53:52	24/05/2014 09:26:43
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	AddedDate	05/05/2012 19:27:24	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	LastPlayed	07/05/2015 17:53:53	24/05/2014 09:26:44
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	AddedDate	05/05/2012 19:27:24	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track12.mp3	PlayCounter	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track12.mp3	AddedDate	05/05/2012 19:27:24	01/01/1970 00:00:00
