File	Value	MergeDevice1_KO	MergeDevice2_DB
8cfbb741-bd63-449f-9e48-4d234264c8d5/Track1.mp3	Rating	-1	0
8cfbb741-bd63-449f-9e48-4d234264c8d5/Track2.mp3	Rating	-1	0
8cfbb741-bd63-449f-9e48-4d234264c8d5/Track3.mp3	Rating	-1	0
8cfbb741-bd63-449f-9e48-4d234264c8d5/Track4.mp3	Rating	-1	0
8cfbb741-bd63-449f-9e48-4d234264c8d5/Track5.mp3	Rating	-1	0
8cfbb741-bd63-449f-9e48-4d234264c8d5/Track6.mp3	Rating	-1	0
8cfbb741-bd63-449f-9e48-4d234264c8d5/Track7.mp3	Rating	-1	0
8cfbb741-bd63-449f-9e48-4d234264c8d5/Track8.mp3	Rating	-1	0
8cfbb741-bd63-449f-9e48-4d234264c8d5/Track9.mp3	Rating	-1	0
8cfbb741-bd63-449f-9e48-4d234264c8d5/Track10.mp3	Rating	-1	0
8cfbb741-bd63-449f-9e48-4d234264c8d5/Track11.mp3	Rating	-1	0
8cfbb741-bd63-449f-9e48-4d234264c8d5/Track12.mp3	Rating	-1	0
