File	Value	MergeDevice1_KO	MergeDevice2_DB
c212b71b-848c-491c-8ae7-b62a993ae194/Track1.mp3	Rating	-1	0
c212b71b-848c-491c-8ae7-b62a993ae194/Track2.mp3	Rating	-1	0
c212b71b-848c-491c-8ae7-b62a993ae194/Track3.mp3	Rating	-1	0
c212b71b-848c-491c-8ae7-b62a993ae194/Track4.mp3	Rating	-1	0
c212b71b-848c-491c-8ae7-b62a993ae194/Track5.mp3	Rating	-1	0
c212b71b-848c-491c-8ae7-b62a993ae194/Track6.mp3	Rating	-1	0
c212b71b-848c-491c-8ae7-b62a993ae194/Track7.mp3	Rating	-1	0
c212b71b-848c-491c-8ae7-b62a993ae194/Track8.mp3	Rating	-1	0
c212b71b-848c-491c-8ae7-b62a993ae194/Track9.mp3	Rating	-1	0
c212b71b-848c-491c-8ae7-b62a993ae194/Track10.mp3	Rating	-1	0
