File	Value	MergeDevice1_KO	MergeDevice2_DB
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track1.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track2.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track3.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track4.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track5.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track6.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track7.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track8.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track9.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track10.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track11.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track12.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track13.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track14.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track15.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track16.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track17.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track18.mp3	Rating	-1	0
13ca98f6-1a9f-4d76-a3b3-a72a16d91916/Track19.mp3	Rating	-1	0
